id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
codemong-ai-games,coai,CodeMong Ai Games,1.369e-05,0.0,0.0,1.369e-05,1.369e-05,0.0
gld-tokenized-stock-defichain,dgld,SPDR Gold Shares Defichain,20.11,0.0,0.605507,20.11,20.11,0.0
husby,husby,HUSBY,0.00048405,0.0,34.49,0.00048592,0.0004839,-0.38606
corepound,corp,Corepound,0.00541709,0.0,22986.0,,,
centrifuge,cfg,Centrifuge [OLD],0.254481,0.0,307703.0,0.283194,0.250672,-8.13123
hebeblock,hebe,HebeBlock,0.00202156,0.0,4.26,,,
coinwind,cow,CoinWind,0.00282991,0.0,1.29,0.00284598,0.00281483,-0.16787
grow,grow,Grow,0.00141719,0.0,618.43,0.00141719,0.00074594,85.23378
growth,gro,Growth,0.451737,0.0,456.61,0.460615,0.355722,20.99885
hydt-protocol-hydt,hydt,HYDT,0.939609,0.0,1686.29,0.945063,0.936751,-0.11589
conan,conan,CONAN,3.20082e-10,0.0,11.67,3.27935e-10,3.13492e-10,0.10882
chad-frog,chad,Chad Frog,8.3024e-08,0.0,3.03,8.4357e-08,8.2776e-08,-1.54517
clutch-2,clx,Clutch,0.0010263,0.0,48.64,0.00103631,0.00100646,1.28053
hmmonsol,hmm,HmmOnSOL,9.725e-05,0.0,46.31,,,
coach-bucko,bucko,Coach Bucko,0.0013632,0.0,2355.23,0.00140688,0.00136009,0.04838
jerrywifhat,jwif,Jerrywifhat,8.595e-05,0.0,1.62,,,
indowealth-token,iwt,IndoWealth Token,0.332331,0.0,18.56,0.333526,0.331795,-0.35788
jumoney,jum,Jumoney,0.001725,0.0,18151.09,0.00193328,0.00172509,-3.04026
helichain,heli,HeliChain,0.00022269,0.0,116845.0,0.00022676,0.00021909,0.71041
hela-usdc,husdc,Hela USDC,0.999703,0.0,5.42,,,
hedera-liquity,hlqt,Hedera Liquity,0.00743716,0.0,319.66,0.00789941,0.00743645,-4.99655
goody,gdy,Goody,0.02012071,0.0,4632.95,,,
inery,$inr,Inery,0.00221494,0.0,77.38,0.00231201,0.00220433,-4.1987
husky-seal,$husky,Husky Seal,1.519e-05,0.0,22.44,1.613e-05,1.518e-05,-4.8946
geniebot,genie,GenieBot,0.00079142,0.0,564.57,0.00079142,0.00079142,0.0
isengard-nft-marketplace,iset-84e55e,Isengard NFT Marketplace,7.266e-05,0.0,0.05317,7.393e-05,7.085e-05,-1.72277
joystick-labs,jsk,JoyStick,0.00029078,0.0,12377.97,,,
grand-base,gb,Grand Base,0.00058366,0.0,243.22,0.00067915,0.00058145,-5.68618
hydraverse,hdv,Hydraverse,1.019e-05,0.0,48.95,,,
jimmy-on-solana,jimmy,Jimmy on Solana,0.00024892,0.0,162.74,,,
compound-maker,cmkr,cMKR,31.39,0.0,0.0,32.55,31.3,-2.48433
gigachad-eth,gigachad,GigaChad,1.155e-09,0.0,3076.24,1.287e-09,1.152e-09,-10.14699
goat-trading,goat,Goat Trading,4.342e-05,0.0,2470.08,4.743e-05,4.332e-05,-8.36103
chesscoin-0-32,chess,ChessCoin 0.32%,0.104965,0.0,2194.32,0.105699,0.103842,0.38691
cloutcontracts,ccs,CloutContracts,0.97091,0.0,14963.03,1.005,0.959568,-3.27069
centrality,cennz,CENNZnet,0.00173598,0.0,34387.0,,,
guaridos,gudos,GuaridOS,2.196e-05,0.0,16467.95,4.03e-05,1.731e-05,-37.30938
chinese-andy,andwu,Chinese Andy,1.795e-09,0.0,4101.92,1.81e-09,1.672e-09,0.81566
gictrade,gict,GICTrade,0.847177,0.0,3767.34,0.84757,0.832468,0.20617
iris-token-2,iris,Iris,0.00225948,0.0,1.2,0.00228997,0.00224381,-1.33161
karencoin,karen,KarenCoin,2.261e-09,0.0,5.29,2.415e-09,2.262e-09,-5.16081
grovecoin-gburn,gburn,GBURN,7.81e-05,0.0,7937.7,8.327e-05,7.807e-05,-4.7367
ishares-msci-world-etf-tokenized-stock-defichain,durth,iShares MSCI World ETF Tokenized Stock Defichain,11.3,0.0,0.121373,,,
compound-yearn-finance,cyfi,cYFI,102.17,0.0,0.0,104.6,100.23,-1.42053
cloudbric,clbk,Cloudbric,0.00091369,0.0,70.91,0.00091583,0.00081509,10.41265
cartel-coin-2,cartel,Cartel Coin,3.793e-05,0.0,12.22,,,
innoviatrust,invaai,Innovia AI,0.0016891,0.0,227.65,,,
cointel,cols,Cointel,0.02614367,0.0,3031449.0,0.02633678,0.02568634,-0.53321
chinese-toshi,ctoshi,Chinese Toshi,2.627e-05,0.0,125.83,2.682e-05,2.564e-05,1.47244
cloudgpu,cgpu,CloudGPU,0.00109307,0.0,77.06,,,
isiklar-coin,isikc,Isiklar Coin,0.252015,0.0,2103054.0,0.252146,0.251725,0.03496
caroline,her,Caroline,1.93e-06,0.0,4.07,1.98e-06,1.88e-06,-2.15153
greenenvironmentalcoins,gec,GreenEnvironmentalCoins,0.00055171,0.0,456.66,0.00058005,0.0005517,-4.78046
imov,imt,IMOV,0.0025815,0.0,58.6,0.00272335,0.00258102,-5.20857
hybrid-2,hyb,Hybrid,0.00080524,0.0,1710.45,0.00112367,0.00080508,-27.44437
helicopter-finance,copter,Helicopter Finance,4.82186e-13,0.0,0.0,4.82186e-13,4.82186e-13,0.0
growthdefi-gbtc,gbtc,GrowthDefi GBTC,71.41,0.0,239.34,73.12,63.97,3.86574
clubrare-empower,mpwr,Empower,1.271e-05,0.0,25.99,3.191e-05,1.27e-05,-60.17156
hedera-swiss-franc,hchf,Hedera Swiss Franc,1.2,0.0,4174.61,1.24,1.19,-1.05424
harrypotterwifhatmyrowynn,solana,HarryPotterWifHatMyroWynn,1.137e-05,0.0,116.09,1.17e-05,1.123e-05,-2.67837
cardano-crocs-club,c4,Cardano Crocs Club,0.00019252,0.0,926.2,0.00019328,0.00018571,2.17295
chainfactory,factory,ChainFactory,0.00020314,0.0,440.52,0.00020369,0.00019981,-0.26933
hunter-biden-s-laptop,laptop,Hunter Biden's Laptop,1.244e-05,0.0,23.06,1.286e-05,1.239e-05,-1.93982
clutch,clutch,Clutch,2.89,0.0,199.79,,,
hokkaido-ken,doken,Hokkaido Ken,3.1162e-08,0.0,44.61,,,
gibx-swap,x,GIBX Swap,0.00043336,0.0,756.4,0.0004594,0.00043393,-5.66831
itam-games,itam,ITAM Games,0.01118851,0.0,13.11,0.01188096,0.01118751,-5.44022
hectic-turkey,hect,Hectic Turkey,2.0785e-08,0.0,1.7,2.0961e-08,2.0513e-08,-0.02927
coda,coda,CODA,0.120255,0.0,85.51,0.120278,0.09263,1.72877
iris-ecosystem,iristoken,Iris Ecosystem,0.0030099,0.0,8369.87,0.00301626,0.00299312,0.384
insurance-2,insurance,INSURANCE,119.15,0.0,33623.0,119.68,115.38,2.78502
jfin-coin,jfin,JFIN Coin,0.126548,0.0,118956.0,0.134797,0.126548,-4.77885
chinese-pepe,peipei,Chinese PEPE,6.96711e-13,0.0,263.8,1.395e-12,6.96759e-13,-0.94711
hunny-love-token,love,HunnyDAO,0.00499968,0.0,5.09,,,
cardanogpt,cgi,CardanoGPT,0.01461889,0.0,70.49,,,
guarantee,tee,Guarantee,34.19,0.0,15623.74,34.23,34.03,-0.082
illuminex,ix,illumineX,0.00113265,0.0,4.35,,,
helius-staked-sol,hsol,Helius Staked SOL,215.3,0.0,316500.0,227.19,215.6,-5.04404
hashbit-2,hbit,HashBit,7.4108e-08,0.0,1.8,,,
chad-4,karma/sol,Karma Card,0.0003928,0.0,16730.76,0.00041466,0.00035077,-3.41422
giga-cat,gcat,Giga Cat,2.502e-05,0.0,339.95,2.627e-05,2.502e-05,-4.65712
hela-usd,hlusd,HeLa USD,1.001,0.0,2085327.0,1.001,1.0,0.03388
indigo-protocol-ieth,ieth,Indigo Protocol iETH,3955.19,0.0,29607.0,4209.73,3851.96,-4.82257
coredao-bridged-weth-core,weth,CoreDAO Bridged WETH (Core),3705.08,0.0,946.14,3853.91,3675.29,-3.82855
genie-protocol,gnp,Genie Protocol,0.00041178,0.0,5.12,,,
genesis-2,gen,Genesis,2.393e-05,0.0,513.77,,,
giffordwear,giff,GIFFORDwear,0.00018891,0.0,5.64,,,
mumubit-token,mctp,MUMUBIT TOKEN,0.210026,0.0,43020.0,0.210182,0.190463,3.60463
flare-system,fls,Flare system,0.00066365,0.0,321.02,0.00074323,0.00065928,-10.58037
mktcash,mch,Mktcash,0.00022209,0.0,300.12,0.00022215,0.00022209,-0.00039
mao-3,mao,Mao,1.19644e-07,0.0,7.01,1.26161e-07,1.19404e-07,-5.00175
electroswap,bolt,ElectroSwap,0.00917474,0.0,430.1,0.00927,0.00814869,10.86853
moocat,moocat,MooCat [OLD],2.423e-05,0.0,1.82,2.557e-05,2.41e-05,-4.95464
memhash,memhash,Memhash,0.00038283,0.0,11688.94,0.00038589,0.00037377,-0.38831
monkey,monkey,MONKEY,3.62463e-10,0.0,12.97,3.75101e-10,3.58581e-10,-2.44257
